"name","state","year_group"
"ALEXANDERS MILLS","TN",""
"ALEXANDER'S MILLS","MO",""
"ALEXANDERVILLE","GA","1900"
NA,NA,""
NA,NA,""
"ALEXANDRIA","MO",""
NA,NA,""
NA,NA,""
"ALEXANDRIA","NH","1850"
"ALEXANDRIA","NJ",""
"ALEXANDRIA","NY","1850"
NA,NA,""
NA,NA,""
"ALEXANDRIA CENTRE","NY","1850"
"ALEXIS","LA",""
"ALEXIS","AL","1900"
"ALEXIS","MS",""
"ALEXTON","LA","1900"
"ALF","AR","1950"
"ALFALFA","LA",""
"ALFALFA","AL",""
"ALFARATA","PA","1900"
"ALFONSE","AL",""
NA,NA,""
"ALFORD","GA",""
"ALFORD","GA",""
"ALFORD","MA","1850"
"ALFORD","PA","1900"
"ALFORD'S MILL","FL",""
"ALFRED","TN",""
"ALFRED","AL","1900"
"ALFRED","GA",""
NA,NA,""
NA,NA,""
"ALFRED","SC",""
"ALFRED CENTRE","NY","1850"
NA,NA,""
"ALFREDA","AL",""
"ALGA","PA","1900"
"ALGARY","SC","1900"
"ALGER","FL","1900"
"ALGER","NY",""
"ALGER","PA","1900"
"ALGERNON","GA","1900"
"ALGERNON","GA","1900"
"ALGIERS","LA",""
"ALGIERS","AL","1900"
"ALGIRE","MO",""
"ALGOA","AR","1950"
"ALGODON","LA",""
NA,NA,""
"ALGONA","NY","1900"
"ALGONQUIN","NY","1900"
"ALGOOD","TN","1900"
"ALGOOD","SC","1900"
"ALHAMBRA","MO",""
"ALHAMBRA","MS","1900"
"ALIBI","GA","1900"
"ALICE","LA",""
"ALICE","MO",""
"ALICE","MO","1900"
"ALICE","TN",""
"ALICE","AL","1900"
"ALICE","AL",""
"ALICE","GA","1900"
"ALICE","GA",""
"ALICE","MS","1900"
"ALICE","NY",""
"ALICE","PA","1900"
"ALICE","SC","1900"
NA,NA,""
NA,NA,""
"ALICIA","PA",""
"ALINDA","PA","1900"
"ALINE","GA",""
"ALINE","MS",""
"ALINE","PA","1900"
"ALIPH","GA","1900"
NA,NA,""
"ALISGEN","GA","1900"
"ALISONIA","TN","1850"
NA,NA,""
"ALL","MO","1900"
"ALLABEN","NY","1900"
"ALLAGASH","ME","1900"
"ALLAIN","LA",""
"ALLAIRE","NJ","1900"
NA,NA,""
"ALLANDALE","FL","1900"
"ALLANDALE","GA","1850"
"ALLANDALE","MS","1900"
"ALLANTON","FL",""
"ALLAQUIPPA","PA",""
"ALLARD'S CORNERS","NY",""
NA,NA,""
"ALLATOONA","GA","1850"
"ALLBRIGHT","MO",""
"ALLBRITTON'S","MS",""
"ALLBROOK","AR","1900"
"ALLCORN","AR","1900"
NA,NA,""
"ALLEGAN","AR",""
NA,NA,""
"ALLEGHANY","GA",""
"ALLEGHANY SPRINGS","TN","1900"
"ALLEGHENY","PA","1850"
"ALLEGHENY","PA",""
"ALLEGHENY BRIDGE","PA","1850"
"ALLEGHENYVILLE","PA","1900"
"ALLEMANDS","LA","1900"
"ALLEMANIA","LA",""
"ALLEMANS","PA","1900"
"ALLEN","LA","1900"
"ALLEN","MO",""
NA,NA,""
"ALLEN","AL",""
"ALLEN","AR",""
"ALLEN","FL",""
"ALLEN","FL","1900"
"ALLEN","MS","1900"
"ALLEN","NY","1850"
NA,NA,""
"ALLEN","SC",""
"ALLEN CENTRE","NY","1850"
"ALLEN GREENE","LA",""
"ALLENS HILL","NY","1850"
"ALLEN","GA","1900"
"ALLENA","MO",""
"ALLENDALE","LA",""
NA,NA,""
"ALLENDALE","TN","1900"
"ALLENDALE","FL",""
"ALLENDALE","MS",""
NA,NA,""
"ALLENDALE","NY",""
"ALLENDALE","PA",""
NA,NA,""
"ALLENDALE","SC","1900"
"ALLENHURST","FL",""
NA,NA,""
NA,NA,""
NA,NA,""
"ALLEN'S BRIDGE","SC","1850"
"ALLEN'S CORNER","ME",""
"ALLEN'S CREEK","TN",""
"ALLEN'S FACTORY","AL",""
"ALLENS FALLS","NY","1900"
"ALLEN'S FERRY","TN",""
"ALLEN'S LANDING","MO",""
"ALLENS MILLS","GA","1900"
"ALLENS MILLS","GA",""
"ALLENS MILLS","PA","1900"
"ALLEN'S MILLS","ME","1900"
"ALLEN'S SETTLEMENT","LA","1850"
"ALLENS STATION","TN","1850"
"ALLENS STATION","NY",""
"ALLENS STORE","MS",""
"ALLENSBOROUGH","NY",""
"ALLENSBURG","MS","1900"
"ALLENSTOWN","NH","1850"
"ALLENSVILLE","TN",""
"ALLENSVILLE","TN","1900"
"ALLENSVILLE","TN",""
"ALLENSVILLE","AL",""
"ALLENSVILLE","AR","1900"
"ALLENSVILLE","AR",""
"ALLENSVILLE","GA",""
"ALLENSVILLE","NY","1850"
NA,NA,""
"ALLENTON","AL","1850"
NA,NA,""
"ALLENTON","RI","1850"
"ALLENTOWN","LA","1900"
"ALLENTOWN","TN",""
NA,NA,""
NA,NA,""
NA,NA,""
NA,NA,""
"ALLENTOWN IRON WORKS","PA",""
"ALLENVILLE","MO","1900"
NA,NA,""
NA,NA,""
"ALLERTON","MA","1900"
"ALLEY","MO","1900"
"ALLEY","TN",""
"ALLEY","NY",""
"ALLEY SPRING","MO","1950"
"ALLEYJAYS","TN",""
"ALLFRIEND","AR","1950"
NA,NA,""
"ALLGOOD","GA",""
"ALLGOODS MILL","MS",""
"ALLHILL","AL",""
"ALLIANCE","LA",""
"ALLIANCE","MO","1900"
"ALLIANCE","AL","1900"
"ALLIANCE","AR",""
"ALLIANCE","FL","1900"
"ALLIANCE","GA",""
"ALLIANCE","GA","1900"
"ALLIANCE","MS","1900"
"ALLIANCE","NJ","1900"
"ALLIANCE","PA","1900"
"ALLIANCE","SC","1900"
"ALLIE","AR",""
"ALLIE","FL","1900"
"ALLIGATOR","LA","1850"
"ALLIGATOR","AR","1850"
"ALLIGATOR","FL","1850"
"ALLIGATOR","FL","1900"
"ALLIGATOR","GA",""
"ALLIGATOR","GA",""
NA,NA,""
"ALLIGERVILLE","NY","1950"
"ALLINGTOWN","CT","1900"
"ALLIQUIPPA","PA",""
"ALLIS HOLLOW","PA","1900"
"ALLISON","LA",""
"ALLISON","MO","1900"
"ALLISON","AL",""
"ALLISON","AR","1900"
"ALLISON","AR","1950"
"ALLISON","FL",""
NA,NA,""
"ALLISON","SC",""
"ALLISON CREEK","SC",""
NA,NA,""
"ALLISON'S STORE","SC",""
"ALLMONT","PA",""
NA,NA,""
"ALLONSONIA","TN","1900"
NA,NA,""
"ALLOWAY","NY","1850"
"ALLOWAYSTOWN","NJ","1850"
"ALLPORT","AR",""
NA,NA,""
NA,NA,""
"ALLSBORO","AL","1850"
"ALLSBROOK","SC",""
"ALLSHOUSE","PA",""
"ALLSTON","MA",""
"ALLSUP","AL","1900"
"ALLULA","AL","1900"
"ALLUVIA","FL",""
"ALLUVIAL","LA",""
"ALLWOOD","NJ","1900"
"ALLYNS","CT","1900"
"ALMA","LA","1900"
NA,NA,""
"ALMA","MO",""
"ALMA","TN",""
NA,NA,""
NA,NA,""
NA,NA,""
"ALMA","GA",""
"ALMA","GA",""
"ALMA","MS","1900"
NA,NA,""
"ALMA","SC","1900"
"ALMA","SC",""
"ALMA MINE","MO",""
"ALMACK'S","SC",""
"ALMADALE","MS",""
"ALMADANE","LA","1900"
"ALMADEN","PA",""
"ALMARANT","AL",""
"ALMARTHA","MO","1900"
"ALMATON","PA","1900"
"ALMAVILLE","TN","1900"
"ALMEDA","MO",""
"ALMEDA","NY",""
"ALMEDA","SC","1900"
"ALMEDIA","PA","1900"
"ALMERIA","AL","1900"
"ALMIRA","TN","1900"
"ALMIRANTE","FL","1850"
"ALMO","MS",""
"ALMO","PA","1900"
"ALMON","MO","1900"
"ALMON","GA","1900"
"ALMOND","AL","1900"
"ALMOND","AR","1900"
NA,NA,""
"ALMONESSON","NJ","1900"
"ALMONT","PA","1900"
"ALMY","TN","1900"
"ALMY","PA",""
NA,NA,""
NA,NA,""
"ALOHA","LA",""
"ALOHA","TN",""
"ALONZO","LA",""
"ALONZO","TN","1900"
"ALONZO","AL",""
"ALONZO","AR","1900"
"ALONZO","GA","1900"
"ALONZO","MS",""
NA,NA,""
"ALPENA PASS","AR",""
"ALPHA","LA",""
"ALPHA","LA","1900"
"ALPHA","MO","1900"
"ALPHA","TN","1900"
"ALPHA","AL","1900"
"ALPHA","AR","1900"
"ALPHA","GA","1900"
"ALPHA","NJ","1950"
"ALPHA","SC",""
"ALPHABA","MS","1900"
NA,NA,""
"ALPHONSO","GA",""
"ALPIKA","MS","1900"
NA,NA,""
NA,NA,""
"ALPINE","AR","1850"
"ALPINE","FL",""
"ALPINE","GA","1850"
"ALPINE","MS","1900"
NA,NA,""
NA,NA,""
"ALPINE","PA","1900"
"ALPINE","SC","1900"
"ALPINES","TN",""
"ALPLAUS","NY","1900"
"ALPS","GA","1900"
"ALPS","NY","1850"
"ALREAD","AR","1900"
"ALSACE","PA",""
"ALSACE MILLS","PA",""
"ALSATIA","LA",""
"ALSEN","NY",""
"ALSTEAD","NH","1850"
NA,NA,""
"ALSTEAD CENTRE","NH","1900"
"ALSTON","AL","1900"
"ALSTON","AR","1900"
NA,NA,""
"ALSTON","SC","1850"
"ALSUP","MO","1900"
"ALTA","ME","1900"
"ALTA VISTA","MO","1900"
"ALTACREST","TN",""
"ALTAFTS","PA","1900"
"ALTAMAHA","GA","1900"
NA,NA,""
NA,NA,""
"ALTAMONT","FL",""
NA,NA,""
"ALTAMONT","SC","1900"
NA,NA,""
"ALTAMONTE STATION","FL",""
"ALTAY","NY","1850"
NA,NA,""
"ALTENWALD","PA","1900"
"ALTERTON","PA",""
"ALTHA","MO",""
NA,NA,""
"ALTHARP","AR",""
"ALTHEA","MO",""
"ALTHEA","AL","1900"
"ALTHEIM","MO","1900"
NA,NA,""
"ALTHOLM","PA",""
"ALTHORPE","MO",""
"ALTHOUSE","PA",""
"ALTIMIRA","GA",""
"ALTIS","GA",""
"ALTITUDE","MS","1900"
"ALTMAN","FL","1900"
"ALTMAN","GA",""
"ALTMAN","PA","1900"
NA,NA,""
"ALTO","LA","1900"
"ALTO","TN","1900"
"ALTO","AL","1900"
"ALTO","AR","1900"
"ALTO","FL","1900"
NA,NA,""
"ALTO","MS","1900"
"ALTOMVILLE","TN","1900"
"ALTON","LA",""
"ALTON","LA","1900"
NA,NA,""
"ALTON","TN","1900"
"ALTON","FL",""
"ALTON","GA","1900"
"ALTON","ME","1850"
"ALTON","MS",""
NA,NA,""
NA,NA,""
"ALTON","PA",""
"ALTON","RI","1900"
NA,NA,""
"ALTON HILL","TN","1850"
"ALTON HILL","TN",""
"ALTON PARK","TN","1900"
"ALTON VILLAGE","ME",""
"ALTONA","MO","1900"
NA,NA,""
"ALTOONA","LA",""
NA,NA,""
NA,NA,""
"ALTOONA","GA",""
NA,NA,""
NA,NA,""
NA,NA,""
"ALTUS","MS",""
"ALTUS","PA","1900"
"ALUM","AR",""
"ALUM","PA",""
NA,NA,""
"ALUM FORK","AR",""
"ALUM ROCK","PA","1900"
"ALUM SPRINGS","TN",""
"ALUM WELL","TN","1900"
"ALUTA","PA","1900"
"ALVA","TN","1900"
NA,NA,""
"ALVA","GA","1900"
"ALVA","ME",""
"ALVA","MS","1900"
"ALVAN","PA","1850"
"ALVARDO","MO",""
"ALVAREZ","AL",""
NA,NA,""
NA,NA,""
"ALVERSON","AL","1900"
NA,NA,""
"ALVIN","MO","1900"
"ALVIN","GA","1900"
